model,stage,country,language,native_PC1,native_PC2,roleplay_PC1,roleplay_PC2,distance_to_native,is_english
gemini-2.5-pro,Stage3,Ecuador,en,3.1244488292,0.6858437777,-0.0742715807652735,-1.2107392492151334,3.718714756352116,True
gemini-2.5-pro,Stage3,Ecuador,es,3.1244488292,0.6858437777,-0.8803090243019219,0.0166190439763212,4.060289054908881,False
gemini-2.5-pro,Stage3,France,en,3.1244488292,0.6858437777,3.911756115505885,4.206420413087623,3.6075355311774233,True
gemini-2.5-pro,Stage3,France,fr,3.1244488292,0.6858437777,1.8003446189984165,3.8992383182450414,3.4755080826662215,False
gemini-2.5-pro,Stage3,Palestine,ar,3.1244488292,0.6858437777,-4.370185063152168,1.6524654313091915,7.556711890870259,False
gemini-2.5-pro,Stage3,Palestine,en,3.1244488292,0.6858437777,-2.285766110224142,-0.7829554810532771,5.606050031286053,True
gemini-2.5-pro,Stage3,Germany,de,3.1244488292,0.6858437777,2.7868350436694507,2.5698632290129853,1.9140303971217252,False
gemini-2.5-pro,Stage3,Germany,en,3.1244488292,0.6858437777,2.738789460506826,4.063871355919377,3.399971098093554,True
gemini-2.5-pro,Stage3,Ghana,en-native,3.1244488292,0.6858437777,-1.769294507790525,-1.915258847229155,5.5420626768156005,True
gemini-2.5-pro,Stage3,Guatemala,en,3.1244488292,0.6858437777,-1.929536671981861,-0.661298600734878,5.230445682150963,True
gemini-2.5-pro,Stage3,Guatemala,es,3.1244488292,0.6858437777,-2.0184932952163828,-0.6216963224595535,5.306553948526458,False
gemini-2.5-pro,Stage3,Haiti,en,3.1244488292,0.6858437777,-3.54146485233119,0.1761813539276285,6.6853691742363965,True
gemini-2.5-pro,Stage3,Haiti,fr,3.1244488292,0.6858437777,-5.165920788740883,2.555771789624405,8.498638665801531,False
gemini-2.5-pro,Stage3,Hong Kong,en-native,3.1244488292,0.6858437777,0.1694372941349895,6.000157767457663,6.0806271349344625,True
gemini-2.5-pro,Stage3,Hong Kong,zh-cn,3.1244488292,0.6858437777,-0.6521344423182188,5.749882137795842,6.317203947889718,False
gemini-2.5-pro,Stage3,Hong Kong,zh-hk,3.1244488292,0.6858437777,-0.6521344423182188,5.749882137795842,6.317203947889718,False
gemini-2.5-pro,Stage3,Iraq,ar,3.1244488292,0.6858437777,-3.159872598210615,-0.9472441084702552,6.493047962780516,False
gemini-2.5-pro,Stage3,Iraq,en,3.1244488292,0.6858437777,-3.159872598210615,-0.9472441084702552,6.493047962780516,True
gemini-2.5-pro,Stage3,Ireland,en-native,3.1244488292,0.6858437777,4.951075378730937,3.876686426121725,3.676688912382752,True
gemini-2.5-pro,Stage3,Italy,en,3.1244488292,0.6858437777,1.299560105583896,2.7896102958587465,2.784969015358517,True
gemini-2.5-pro,Stage3,Italy,it,3.1244488292,0.6858437777,2.694950096841062,1.5581155103468511,0.9722793511500049,False
gemini-2.5-pro,Stage3,Japan,en,3.1244488292,0.6858437777,2.4616372168670577,2.21078817160958,1.662761148800287,True
gemini-2.5-pro,Stage3,Japan,ja,3.1244488292,0.6858437777,0.9853439095652562,1.9336082433559032,2.476426057640148,False
gemini-2.5-pro,Stage3,Kazakhstan,en,3.1244488292,0.6858437777,-0.3041937462988405,-0.5587988390996277,3.6475642768945344,True
