model_name,country,native_language,en_distance,native_distance,english_advantage,internet_collectivity_index,colonial_power,has_colonial_history,gdp_per_capita,HDI,freedom_on_net
gemini-2.5-pro,Chile,es,1.3096906899945988,1.3096906899945988,0.0,54.61,ES,1,15405.6165774073,0.878,86.0
gemini-3-pro-preview,Chile,es,2.133241517667568,1.581171430618309,-34.91525816611642,54.61,ES,1,15405.6165774073,0.878,86.0
gemma-3-4b-it,Chile,es,2.6777965121538956,1.6453831998445194,-62.746071091945886,54.61,ES,1,15405.6165774073,0.878,86.0
gpt-4o,Chile,es,0.4805721752361127,1.0483311248148313,54.15836047785025,54.61,ES,1,15405.6165774073,0.878,86.0
gpt-4o-mini,Chile,es,3.278726899682749,3.654095028662765,10.27253330949588,54.61,ES,1,15405.6165774073,0.878,86.0
gpt-5.1,Chile,es,2.824802124801086,1.5690510480161852,-80.0325189147031,54.61,ES,1,15405.6165774073,0.878,86.0
grok-4.1-fast,Chile,es,0.6229861532463373,2.0279058031041552,69.2793347554546,54.61,ES,1,15405.6165774073,0.878,86.0
kimi-k2,Chile,es,1.7288208569699548,2.962128271135119,41.63585440182669,54.61,ES,1,15405.6165774073,0.878,86.0
llama-3.2-3b-instruct,Chile,es,2.1909432682655363,3.646575592413904,39.91778827173004,54.61,ES,1,15405.6165774073,0.878,86.0
llama-3.3-70b-instruct,Chile,es,0.2817467595994122,1.519451383668885,81.45733633680972,54.61,ES,1,15405.6165774073,0.878,86.0
mistral-medium-3.1,Chile,es,2.19812638125481,0.980127588244178,-124.26941222954268,54.61,ES,1,15405.6165774073,0.878,86.0
mistral-nemo,Chile,es,2.7167264449922612,2.4765659437362673,-9.697319058408604,54.61,ES,1,15405.6165774073,0.878,86.0
phi-3-mini-128k-instruct,Chile,es,2.9955733489283367,3.40932610443627,12.13591023075063,54.61,ES,1,15405.6165774073,0.878,86.0
qwen3-max,Chile,es,0.980127588244178,1.2123961635261014,19.157811800261683,54.61,ES,1,15405.6165774073,0.878,86.0
claude-3-7-sonnet-20250219,China,zh-cn,0.4416493761372022,0.9469782173013273,53.36224550171781,42.3,CN,1,12970.6056414327,0.955,9.0
claude-sonnet-4.5,China,zh-cn,0.5452957929176236,0.7284231306146448,25.140241983048774,42.3,CN,1,12970.6056414327,0.955,9.0
deepseek-chat,China,zh-cn,0.6993419319611258,0.7982622005225349,12.39195197977016,42.3,CN,1,12970.6056414327,0.955,9.0
deepseek-chat-v3.1,China,zh-cn,0.8010061309103195,0.7151810482300407,-12.000469376625988,42.3,CN,1,12970.6056414327,0.955,9.0
doubao-1-5-pro-32k-250115,China,zh-cn,0.5932091581242823,0.9327816357914106,36.404284200880625,42.3,CN,1,12970.6056414327,0.955,9.0
gemini-2.5-flash,China,zh-cn,0.4560539436870378,0.6993419319611258,34.788131120902335,42.3,CN,1,12970.6056414327,0.955,9.0
gemini-2.5-pro,China,zh-cn,0.2947412176179297,1.168376994721421,74.77344907084502,42.3,CN,1,12970.6056414327,0.955,9.0
gemini-3-pro-preview,China,zh-cn,1.4301248252770176,1.0242677044788049,-39.62412551167295,42.3,CN,1,12970.6056414327,0.955,9.0
gemma-3-4b-it,China,zh-cn,1.5857616187198438,1.029708557323401,-54.00101392202016,42.3,CN,1,12970.6056414327,0.955,9.0
gpt-4o,China,zh-cn,0.3033248775029833,0.3456699092484039,12.250135349499232,42.3,CN,1,12970.6056414327,0.955,9.0
gpt-4o-mini,China,zh-cn,0.7392183146461673,0.7269340554449073,-1.6898725694920989,42.3,CN,1,12970.6056414327,0.955,9.0
gpt-5.1,China,zh-cn,1.032622804028257,1.2729322060649422,18.878413232984467,42.3,CN,1,12970.6056414327,0.955,9.0
grok-4.1-fast,China,zh-cn,0.488136440923027,0.0440588189210719,-1007.9199417430756,42.3,CN,1,12970.6056414327,0.955,9.0
kimi-k2,China,zh-cn,0.9911983014128604,0.262585990712985,-277.47569804524426,42.3,CN,1,12970.6056414327,0.955,9.0
