model_name,model_region,roleplay_country,real_country,country_code,cultural_region,distance,roleplay_pc1,roleplay_pc2,real_pc1,real_pc2
openai/gpt-4o-mini,,Jordan,Jordan,Jordan,,1.6645625669187794,-0.1425540287902345,-1.7998625177350227,-1.7940845102735699,-2.0077461580693656
deepseek/deepseek-chat-v3-0324,,Kazakhstan,Kazakhstan,Kazakhstan,,0.3807392503670687,-0.4517505022842182,-0.8474785150444722,-0.6964176668714894,-0.5557588630789206
google/gemini-2.0-flash-001,,Kazakhstan,Kazakhstan,Kazakhstan,,1.0021944863298864,-0.9678892867439114,0.40896749606851546,-0.6964176668714894,-0.5557588630789206
openai/gpt-4o-mini,,Kazakhstan,Kazakhstan,Kazakhstan,,1.5633379709788802,0.7989299741955151,-1.0117863226246224,-0.6964176668714894,-0.5557588630789206
anthropic/claude-3.7-sonnet,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,,1.6006403440019088,-1.698608294075091,-0.21271349338827036,-0.8969034597528177,-1.5981083358324182
deepseek/deepseek-chat-v3-0324,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,,0.3024286123741663,-1.032478794891814,-1.3277707800165224,-0.8969034597528177,-1.5981083358324182
google/gemini-2.0-flash-001,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,,1.7532808452971411,-1.328644997122065,0.10118356593016492,-0.8969034597528177,-1.5981083358324182
openai/gpt-4o-mini,,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,,1.5432973757895536,0.5881649785409454,-1.1781815282782375,-0.8969034597528177,-1.5981083358324182
anthropic/claude-3.7-sonnet,,Lebanon,Lebanon,Lebanon,,1.7196344085072255,-2.24777499689355,0.7982428593096791,-1.1685880142374916,-0.5405991610152385
deepseek/deepseek-chat-v3-0324,,Lebanon,Lebanon,Lebanon,,2.0914524982265053,-1.2930186938181678,1.5471485628050947,-1.1685880142374916,-0.5405991610152385
google/gemini-2.0-flash-001,,Lebanon,Lebanon,Lebanon,,1.950372179806204,-1.5037836894727374,1.38075335715148,-1.1685880142374916,-0.5405991610152385
mistralai/mistral-nemo,,Lebanon,Lebanon,Lebanon,,3.6511985845941246,2.1301801347912757,1.0244502960612658,-1.1685880142374916,-0.5405991610152385
openai/gpt-4o-mini,,Lebanon,Lebanon,Lebanon,,3.454021084069243,1.5602266871617299,1.5769069132670401,-1.1685880142374916,-0.5405991610152385
anthropic/claude-3.7-sonnet,,Macao,Macao,Macao,,1.2244626374078207,-0.17616024948559605,1.0142084191492575,0.8539856021159716,1.6761058997576954
deepseek/deepseek-chat-v3-0324,,Macao,Macao,Macao,,1.3575426418580978,0.36470639045234043,0.40980108751978905,0.8539856021159716,1.6761058997576954
meta-llama/llama-3.3-70b-instruct,,Macao,Macao,Macao,,1.9849624130661074,0.653677225925308,-0.298723798143641,0.8539856021159716,1.6761058997576954
mistralai/mistral-nemo,,Macao,Macao,Macao,,5.039501851700522,5.135995786082971,-0.9811422440361621,0.8539856021159716,1.6761058997576954
